lastname
Abadi
Abboud
Almasi
Amari
Antar
Antoun
Arian
Asfour
Asfour
Asghar
Asker
Aswad
Aswad
Atiyeh
Attia
Awad
Awad
Awad
Ba
Baba
Bahar
Bahar
Basara
Baz
Bishara
Bitar
Botros
Boulos
Boutros
Cham
Dagher
Daher
Deeb
Essa
Fakhoury
Ganem
Ganim
Gerges
Ghannam
Guirguis
Hadad
Haddad
Haik
Hajjar
Hakimi
Halabi
Hanania
Handal
Harb
Isa
Issa
Kalb
Kanaan
Kassab
Kassis
Kattan
Khouri
Khoury
Kouri
Koury
Maalouf
Maloof
Malouf
Maroun
Masih
Mifsud
Mikhail
Moghadam
Morcos
Nader
Nahas
Naifeh
Najjar
Naser
Nassar
Nazari
Quraishi
Qureshi
Rahal
Rahal
Sabbag
Sabbagh
Safar
Said
Salib
Saliba
Samaha
Sarraf
Sayegh
Seif
Shadid
Shalhoub
Shammas
Shamon
Shamoon
Shamoun
Sleiman
Tahan
Tannous
Toma
Aamer
Al-Abadi
Abargil
Abaza
Abbar
Abbas
Abboud
Abd-Manaf
Abdel-Nour
Abdi
Abdil
Abdul
Abdul-Samad
Abdullah
Abergel
Abidi
Abidin
Abiha
Abitbol
Abiteboul
Aboutaleb
Abulafia
Abumohor
Adeel
Adham
Adib
Adil
Adli
Adnan
Adwan
Afif
Ahad
Al-Ahdal
Ahmad
Ahmadi
Ahmar
Ahsan
Ajami
Ajda
Al-Ajlani
Akif
Akkad
Akram
Al-Bayati
Al-Gosaibi
Al-Tunaij
Al-Barazi
Al-Bariqi
Al-Fadhli
Al-Habsi
Al-Hallaq
Al-Hashimi
Al-Jazuli
Al-Jazuli
Al-Khatib
Al-Marri
Al-Mubarak
Al-Mutairi
Al-Qudsi
Al-Sayyed
Al-Zahrani
Al-Zamel
Al-Zoubi
Alam
Alavi
Alawi
Ali
Alim
Allaf
Al-'Amili
Amir
Ammar
Amr
Al-Amuli
Al-Andalusi
Anwar
Arafi
Araiji
Arazi
Asad
Asem
Ashhad
Ashour
Al-Asiri
Aslam
Assan
Assemani
Ata
Atashi
Atassi
Atif
Atiq
Atiyah
Al-Atrash
Attar
Atwan
Atwi
Aulaqi
Awad
Awan
Ayad
Ayari
Azhar
Azim
Aziz
Azizul-Haque
Al-Azm
Baba
Badat
Badawi
Badir
Badri
Baghdadi
Baha
Bahjat
Bahri
Bakir
Bakkal
Al-Balawi
Al-Balushi
Barad
Barakat
Barghouti
Barmada
Barzegar
Bashar
Basri
Batma
El-Baz
Belhocine
Belkacem
Belkadi
Ben Yahia
Benaldjia
Benayoun
Benguigui
Bennouna
Bensaïd
Bensoussan
Benyamina
Bettayeb
Bilal
Bilel
Bishara
Al-Bishi
Bouazizi
Bouhouche
Boukacem
Boulos
Boushaki
Boustani
Bseiso
Bukhari
Burhan
Chahuán
Chaibi
Chakroun
Chalhoub
Chamoun
Chatti
Daivari
Damji
Dandachi
Daou
Darwish
Dawoud
Dehlavi
Diab
Didouche
Al-Dimashqi
Din
Dudin
Dziri
Ebeid
El Guindi
El Hammamy
Elaraby
Elharar
Elmaleh
Elyounoussi
Al-Enezi
Entezam
Erakat
Fadel
Faez
Faheem
Fahimi
Fahmi
Fahri
Faizan
Fakhoury
Fakhr
Farhat
Farhi
Farid
Farooq
Farooqui
Farrugia
Al-Farsi
Al-Fasi
Fasih
Fawzi
Fayed
Fazil
Fitoussi
Gaddafi
Gamil
Gazzah
Gebran
Ghafour
Ghali
Al-Ghamdi
Ghanem
Ghannouchi
Gharsallah
Ghattas
Ghazali
Ghazzawi
Ghulam
Habib
Habus
Haddad
Haddaoui
Hadi
Hadid
Hadrami
Hafeez
Hagigat
Hajj
Hajji
Hakimi
Halabi
Halimi
Hamadani
Hamawi
Hamdan
Al-Hamdan
Hamdi
Hamdouchi
Hamid
Hamidi
Hamidou
Hammam
Handal
Hani
Hannachi
Haqq
Harb
Hariri
Al-Harthi
Hashem
Hasnawi
Hassaïne
Hassan
Hassim
Hatem
Hawass
Hawi
Hawsawi
Hayek
Hazazi
Al-Hazmi
Hegazi
Henein
Hijazi
Hikmat
Hilaly
Himsi
Hindawi
Hourani
Howayek
Hussein
Husseini
Ibn Mubarak
Ibrahim
Iqbal
Irfan
Isa
Ishak
Islambouli
Ismail
Ismat
Issawi
Itani
Jabal
Jaber
Jabir
Al-Jabiri
Jabr
Jahani
Jahid
Jalal
Jalayer
Jalili
Jalili
Jameel
Jarrah
Jarrar
Jasem
Al-Jazari
Jaziri
Jebali
Juhani
Al-Jurjani
Kacimi
Kaddouri
Kadir
Kadri
Kaebi
Kahveci
Kanso
Karaki
Karawi
Karbalaei
Kardoust
Karim
Kashif
Kassab
Kassar
Kateb
Kayyali
Kazem
Kazmi
Kchouk
Khadem
Khalef
Khalid
Khalidi
Khamis
Khatibi
Khattab
Khayat
Khofri
Khouri
Al-Kindi
Kirdar
Kouachi
Labib
Bin Laden
Lagha
Laghmani
Lajami
Lalji
Lamouchi
Latif
Latifi
Lazaar
Lellouche
Maalouf
Maamoun
Maatouk
Madathil
Mahdi
Mahjoub
Mahmoody
Mahmoudi
Mahmud
Mahsas
Majrashi
Makhamra
Maleh
Malki
Manar
Mannah
Manqabadi
Manzur
Maqdisi
Mardam-Bey
Al-Mardini
Marei
Marwan
Marwazi
Marzouki
Al-Masri
Massad
Mathlouthi
Mebarek
Meftah
Melhem
Memmich
Menem
Mezali
Mizouni
Moeen
Mokrani
Moneim
Moussa
Moussaoui
Mubarak
Mudin
Mughrabi
Al Bu Muhair
Muhammad
Muhsin
Mujtaba
Mukhtar
Munir
Murad
Murr
Mustafa
Mzali
Nabhani
Nabi
Nabih
Nabulsi
Naceri
Nader
Nadi
Nadir
Nadvi
Nadwi
Naeemi
Nafti
Naguib
Nahdi
Nahhas
Nahyan
Naif
Naim
Najafi
Najdi
Naji
Najibullah
Najjar
Nakouzi
Nami
Namli
Naqbiyin
Nasar
Nasiri
Nasr
Nasrallah
Nasri
Nassar
Nasser
Nassif
Nawawi
Nawaz
Nawfal
Nazif
Nazim
Nazmi
Nehme
Nimri
Noor
Noorani
Nouraei
Nuri
Okasha
Al-Omari
Osman
Otayf
Pachachi
Qaderi
Al-Qadi
Qahtan
Qasim
Qayyum
Qubaisi
Qudsi
Qureshi
Qureshi
Al-Qurtubi
Rafiq
Ragheb
Rahim
Rahman
Rahmati
Raïs Hamidou
Rajab
Al-Rajhi
Raji
Ramli
Ramzan
Ramzi
Raofat
Raouf
Rashid
Rasul
Rauf
Reza
Rezgui
Riad
Riaz
Rizvi
Roukoz
Rushdi
Saʽid
Saatchi
Sabbagh
Sadek
Sadir
Al-Sadr
Saei
Safadi
Sahrawi
Saif
Saifullah
Sajjad
Sakka
Salah
Saleh
Salem
Salhi
Salman
Al-Samarrai
Samiya
Saqr
Sawalha
Sayyid
Sehnaoui
Sfeir
Shaarawy
Shaath
Shaban
Shafiq
Shahid
Al-Shahrani
Shakeel
Shakir
Shalhoub
Al-Shamrani
Sharifi
Shariq
Sharqiyin
Shawkat
Shawki
Shihuh
Al-Shehri
El-Shennawi
Shishani
Shriki
Shukri
Sidqi
Al-Sijistani
Sinai
Sistani
Slim
Sobhi
Solh
Soltani
Sultan
As-Suwaidi
Al-Tabari
Tabet
Taha
Taher
Taieb
Talal
Talhouni
Tamim
Tamimi
Tamraz
Tantawi
Tarhouni
Tariq
Taskin
Tavakkoli
Tawfik
Tayeb
Tayfur
Tharwat
Al-Tiflisi
Al-Tikriti
Tohme
Trabelsi
Al-Turk
Turki
Al-Tusi
Twal
Ubayd Allah
Uthman
Uzair
Wahed
Wahid
Wajdi
Waked
Wardak
Wardi
Warraq
Wasti
Wazir
Yacine
Yafai
Yaghi
Yahya
Yakub
Yammine
Yaseen
Yasin
Yasser
Yassin
Yassine
Yatim
Yaziji
Yusuf
Zaab
Zafar
Al-Zahabi
Zahawi
Zahir
Zahreddine
Zaid
Zainab
Zakariya
Zaki
Zamoum
Zawahiri
Al-Zayani
Zaydan
Zeidan
Ziad
Zidan
Zidane
Zoghbi
Zuberi
